Epoch,Training Loss,Training Gradient Norm,Training Time (s),Test Loss,Test Gradient Norm,Test Accuracy
128,0.6935781836509705,0.07699868414677634,0.02444911003112793,0.6940464973449707,0.12434299687596546,0.48750001192092896
129,0.6935722231864929,0.07699252940049214,0.025201797485351562,0.6940425038337708,0.12433563410567332,0.48875001072883606
130,0.6935662627220154,0.07698638388261826,0.026220083236694336,0.6940383315086365,0.12432827790438243,0.48875001072883606
131,0.6935604214668274,0.07698024263193615,0.026342153549194336,0.694034218788147,0.12432091036376106,0.49000000953674316
132,0.6935544610023499,0.07697409479359482,0.02486395835876465,0.6940301656723022,0.12431355875128304,0.49000000953674316
133,0.6935485005378723,0.07696796521847309,0.025397062301635742,0.6940260529518127,0.12430623355515089,0.49000000953674316
134,0.6935426592826843,0.07696183718690379,0.08369922637939453,0.694021999835968,0.12429887942761983,0.49000000953674316
135,0.6935366988182068,0.07695571883069804,0.024912118911743164,0.6940178871154785,0.12429153525560067,0.49000000953674316
136,0.6935307383537292,0.07694960382523985,0.022948026657104492,0.6940138339996338,0.12428422121100918,0.49000000953674316
137,0.6935247778892517,0.07694349803991264,0.023789644241333008,0.6940097212791443,0.12427689581970854,0.49000000953674316
138,0.693518877029419,0.07693738069302827,0.023836851119995117,0.6940056681632996,0.12426957328093571,0.49125000834465027
139,0.6935129761695862,0.0769312865687585,0.02402520179748535,0.6940015554428101,0.12426226892300446,0.49125000834465027
140,0.6935070753097534,0.07692520346756183,0.024801969528198242,0.6939974427223206,0.12425496290467565,0.49125000834465027
141,0.6935011148452759,0.07691912235351805,0.0243680477142334,0.6939933896064758,0.12424766199153414,0.49125000834465027
142,0.6934951543807983,0.0769130441272183,0.024012088775634766,0.6939892768859863,0.12424036167238248,0.49125000834465027
143,0.6934893131256104,0.07690695930407958,0.02344822883605957,0.6939852237701416,0.12423307355625178,0.49125000834465027
144,0.6934834122657776,0.07690088639679468,0.023527860641479492,0.6939811706542969,0.12422579313437646,0.49125000834465027
145,0.6934774518013,0.07689482947965552,0.07755494117736816,0.6939770579338074,0.124218502480797,0.49125000834465027
146,0.6934715509414673,0.0768887754435655,0.02284717559814453,0.6939729452133179,0.12421123970015872,0.49125000834465027
